supplier_id,food_name,food_category,prepared_qty,sold_qty,surplus_qty,price,waste_qty,created_date,weekday_name,is_weekend,festival_name,is_festival,weather,temperature,demand_score
sup-001,Vegetable Biryani,Rice,105,28,77,135.59,19,2025-04-15,Wednesday,false,,false,Humid,33.1,0.37
sup-002,Vegetable Biryani,Rice,74,32,42,142.6,9,2025-04-16,Thursday,false,,false,Sunny,31.3,0.53
sup-003,Vegetable Biryani,Rice,112,36,76,144.2,18,2025-04-17,Friday,false,,false,Humid,30.6,0.42
sup-004,Idli Sambar,Breakfast,103,63,40,65.28,9,2025-04-18,Saturday,true,,false,Sunny,30.3,0.56
sup-001,Egg Puff,Bakery,135,74,61,36.34,15,2025-04-19,Sunday,true,,false,Humid,32.4,0.55
sup-002,Egg Puff,Bakery,90,46,44,39.15,10,2025-04-20,Monday,false,,false,Overcast,30.3,0.51
sup-003,Idli Sambar,Breakfast,93,48,45,64.26,10,2025-04-21,Tuesday,false,,false,Humid,31,0.47
sup-004,Veg Noodles,FastFood,108,44,64,110.41,14,2025-04-22,Wednesday,false,,false,Overcast,30.7,0.48
sup-001,Curd Rice,Lunch,81,32,49,76.64,17,2025-04-23,Thursday,false,,false,Rainy,28.1,0.32
sup-002,Paneer Fried Rice,Rice,118,44,74,130.57,17,2025-04-24,Friday,false,,false,Sunny,31.8,0.45
sup-003,Curd Rice,Lunch,137,81,56,71.26,14,2025-04-25,Saturday,true,,false,Humid,30.7,0.51
sup-004,Chapati Kurma,Dinner,97,56,41,94.86,9,2025-04-26,Sunday,true,,false,Humid,32.3,0.61
sup-001,Curd Rice,Lunch,102,66,36,70.12,7,2025-04-27,Monday,false,,false,Overcast,32.1,0.57
sup-002,Chapati Kurma,Dinner,86,37,49,84.41,11,2025-04-28,Tuesday,false,,false,Cloudy,31.5,0.46
sup-003,Paneer Fried Rice,Rice,137,55,82,128.51,18,2025-04-29,Wednesday,false,,false,Cloudy,28.5,0.48
sup-004,Lemon Rice,Lunch,102,65,37,65.13,8,2025-04-30,Thursday,false,,false,Sunny,30.3,0.54
sup-001,Lemon Rice,Lunch,69,35,34,69.51,8,2025-05-01,Friday,false,,false,Cloudy,30.7,0.41
sup-002,Curd Rice,Lunch,97,61,36,79.18,11,2025-05-02,Saturday,true,,false,Rainy,28.1,0.55
sup-003,Paneer Fried Rice,Rice,93,51,42,125.48,9,2025-05-03,Sunday,true,,false,Overcast,31.2,0.63
sup-004,Bread Pack,Bakery,106,47,59,45.6,14,2025-05-04,Monday,false,,false,Sunny,29.7,0.42
sup-001,Idli Sambar,Breakfast,98,59,39,64.46,8,2025-05-05,Tuesday,false,,false,Sunny,30.9,0.55
sup-002,Vegetable Biryani,Rice,79,33,46,136.96,10,2025-05-06,Wednesday,false,,false,Cloudy,30,0.52
sup-003,Chapati Kurma,Dinner,78,37,41,83.52,9,2025-05-07,Thursday,false,,false,Sunny,32.2,0.51
sup-004,Lemon Rice,Lunch,96,67,29,72.26,6,2025-05-08,Friday,false,,false,Sunny,30,0.6
sup-001,Chicken Biryani,Rice,113,55,58,178.79,13,2025-05-09,Saturday,true,,false,Cloudy,30.6,0.61
sup-002,Chicken Biryani,Rice,131,71,60,179.61,13,2025-05-10,Sunday,true,,false,Sunny,31.4,0.66
sup-003,Vegetable Biryani,Rice,109,39,70,142.77,16,2025-05-11,Monday,false,,false,Sunny,30.3,0.46
sup-004,Bread Pack,Bakery,146,73,73,55.05,16,2025-05-12,Tuesday,false,,false,Sunny,29.6,0.48
sup-001,Egg Puff,Bakery,148,61,87,30.56,21,2025-05-13,Wednesday,false,,false,Overcast,30.2,0.41
sup-002,Lemon Rice,Lunch,57,31,26,66.88,6,2025-05-14,Thursday,false,,false,Cloudy,28.5,0.44
sup-003,Paneer Fried Rice,Rice,120,59,61,129.76,12,2025-05-15,Friday,false,,false,Sunny,31.4,0.57
