supplier_id,supplier_name,business_type,food_name,food_category,prepared_qty,sold_qty,surplus_qty,price,waste_qty,created_date,weekday_name,is_weekend,festival_name,is_festival,weather,temperature,demand_score
7933b384-0fba-5867-9d8c-929b61f2acca,Golden Crust Bakery,Restaurants and Cafes,Idli Sambar,Breakfast,107,45,62,55.59,15,2025-04-15,Wednesday,false,,false,Humid,33.1,0.37
26fc9b4e-b524-5657-9a97-52821ba0b606,Saravana Bhavan Outlet,Restaurants and Cafes,Idli Sambar,Breakfast,102,59,43,62.6,9,2025-04-16,Thursday,false,,false,Sunny,31.3,0.53
a6ba8fc6-3fbb-5aae-8512-9345e6825dc7,Spice Route Kitchen,Caterers & Hotels,Vegetable Biryani,Rice,176,56,120,144.2,29,2025-04-17,Friday,false,,false,Humid,30.6,0.42
3e0608b2-84e3-5a64-bed8-c98722b6066c,Madurai Meals Hub,Schools & Institutions,Paneer Fried Rice,Rice,71,34,37,135.28,9,2025-04-18,Saturday,true,,false,Sunny,30.3,0.56
8faf69d6-0238-50f2-bbe7-1345d3a7c4dd,Grand Celebration Hotel,Weddings and Parties,Office Lunch Tray,Meal,723,354,369,121.34,88,2025-04-19,Sunday,true,,false,Humid,32.4,0.55
256ceba6-ddcf-530f-bfa1-c7781a94c5bf,Corporate Catering Solutions,Corporate Offices & Canteens,Office Lunch Tray,Meal,190,86,104,124.15,23,2025-04-20,Monday,false,,false,Overcast,30.3,0.51
31373466-0755-5d73-a853-9f55038c9929,Royal Events Catering,Caterers & Hotels,Paneer Fried Rice,Rice,223,87,136,134.26,31,2025-04-21,Tuesday,false,,false,Humid,31,0.47
7933b384-0fba-5867-9d8c-929b61f2acca,Golden Crust Bakery,Restaurants and Cafes,Corporate Buffet Pack,Meal,110,47,63,400.41,14,2025-04-22,Wednesday,false,,false,Overcast,30.7,0.47
26fc9b4e-b524-5657-9a97-52821ba0b606,Saravana Bhavan Outlet,Restaurants and Cafes,Bread Pack,Bakery,109,37,72,51.64,24,2025-04-23,Thursday,false,,false,Rainy,28.1,0.32
a6ba8fc6-3fbb-5aae-8512-9345e6825dc7,Spice Route Kitchen,Caterers & Hotels,Lemon Rice,Lunch,200,110,90,70.57,21,2025-04-24,Friday,false,,false,Sunny,31.8,0.45
3e0608b2-84e3-5a64-bed8-c98722b6066c,Madurai Meals Hub,Schools & Institutions,Egg Puff,Bakery,87,44,43,31.26,11,2025-04-25,Saturday,true,,false,Humid,30.7,0.51
8faf69d6-0238-50f2-bbe7-1345d3a7c4dd,Grand Celebration Hotel,Weddings and Parties,Paneer Fried Rice,Rice,710,376,334,134.86,75,2025-04-26,Sunday,true,,false,Humid,32.3,0.61
256ceba6-ddcf-530f-bfa1-c7781a94c5bf,Corporate Catering Solutions,Corporate Offices & Canteens,Egg Puff,Bakery,226,131,95,30.12,19,2025-04-27,Monday,false,,false,Overcast,32.1,0.58
31373466-0755-5d73-a853-9f55038c9929,Royal Events Catering,Caterers & Hotels,Curd Rice,Lunch,234,126,108,69.41,25,2025-04-28,Tuesday,false,,false,Cloudy,31.5,0.46
7933b384-0fba-5867-9d8c-929b61f2acca,Golden Crust Bakery,Restaurants and Cafes,Chicken Biryani,Rice,121,44,77,178.51,17,2025-04-29,Wednesday,false,,false,Cloudy,28.5,0.48
26fc9b4e-b524-5657-9a97-52821ba0b606,Saravana Bhavan Outlet,Restaurants and Cafes,Veg Noodles,FastFood,130,61,69,105.13,15,2025-04-30,Thursday,false,,false,Sunny,30.3,0.54
a6ba8fc6-3fbb-5aae-8512-9345e6825dc7,Spice Route Kitchen,Caterers & Hotels,Veg Noodles,FastFood,151,53,98,109.51,23,2025-05-01,Friday,false,,false,Cloudy,30.7,0.42
3e0608b2-84e3-5a64-bed8-c98722b6066c,Madurai Meals Hub,Schools & Institutions,Bread Pack,Bakery,65,37,28,54.18,9,2025-05-02,Saturday,true,,false,Rainy,28.1,0.55
